Voltage (V),Current (a.u.)
2.553,1.53
2.554,1.53
2.553,1.531
2.552,1.531
2.553,1.531
2.553,1.531
2.554,1.532
2.553,1.533
2.549,1.534
2.549,1.533
2.551,1.534
2.554,1.534
2.554,1.534
2.554,1.534
2.558,1.535
2.569,1.536
2.593,1.537
2.618,1.536
2.647,1.537
2.624,1.537
2.625,1.538
2.628,1.538
2.627,1.538
2.681,1.539
2.961,1.539
2.995,1.54
3.132,1.54
3.166,1.541
3.471,1.541
3.513,1.54
3.53,1.541
3.512,1.542
3.853,1.542
4.819,1.542
5.018,1.542
5.664,1.543
5.65,1.543
5.971,1.543
6.036,1.543
6.426,1.546
6.735,1.551
6.779,1.554
7.346,1.573
7.265,1.57
7.407,1.575
7.367,1.569
7.404,1.574
7.42,1.572
7.457,1.577
8.142,1.597
8.625,1.612
8.638,1.611
8.867,1.617
8.872,1.617
8.894,1.615
9.149,1.62
9.605,1.628
9.627,1.629
9.63,1.628
9.63,1.631
9.657,1.632
10.301,1.64
10.374,1.641
10.562,1.646
10.713,1.649
10.878,1.65
10.928,1.653
11.039,1.653
11.058,1.652
11.329,1.659
11.429,1.662
11.477,1.663
11.746,1.665
12.007,1.671
12.027,1.673
12.156,1.677
12.468,1.681
12.686,1.689
12.709,1.688
12.977,1.697
12.949,1.694
13.397,1.709
13.883,1.719
13.886,1.719
13.998,1.722
13.997,1.722
14.346,1.736
14.426,1.736
14.533,1.738
14.533,1.739
14.532,1.739
14.535,1.742
14.537,1.743
14.796,1.748
14.946,1.754
15.092,1.757
15.543,1.765
15.592,1.767
15.978,1.778
16.013,1.775
16.524,1.788
16.731,1.794
16.751,1.793
16.927,1.797
16.927,1.797
16.935,1.796
17.267,1.804
17.459,1.806
17.461,1.804
17.756,1.813
17.764,1.81
17.764,1.81
17.805,1.814
17.84,1.811
17.914,1.815
18.211,1.822
18.21,1.821
18.226,1.819
18.238,1.82
18.238,1.819
18.24,1.819
18.24,1.823
18.243,1.822
18.241,1.822
18.368,1.822
18.623,1.827
18.637,1.831
18.907,1.836
19.313,1.841
19.377,1.841
19.648,1.849
19.661,1.851
19.693,1.849
20.379,1.865
20.543,1.865
20.54,1.863
20.539,1.865
20.544,1.862
20.542,1.863
20.541,1.862
20.574,1.864
21.467,1.879
21.843,1.881
21.93,1.88
22.04,1.88
22.277,1.877
22.394,1.877
22.392,1.878
22.398,1.88
22.401,1.88
22.409,1.879
22.415,1.881
22.418,1.879
22.412,1.88
22.651,1.873
22.908,1.86
23.355,1.846
23.678,1.838
23.683,1.839
24.167,1.86
24.201,1.858
24.202,1.854
24.198,1.855
24.225,1.865
24.53,1.883
24.744,1.89
25.028,1.917
25.734,1.959
25.74,1.955
25.734,1.958
25.729,1.956
26.047,2.008
26.201,2.034
26.202,2.016
26.204,2.02
26.33,2.055
26.335,2.055
26.656,2.1
26.954,2.144
26.954,2.133
27.503,2.196
27.632,2.228
27.637,2.216
27.665,2.236
28.02,2.281
28.124,2.28
28.201,2.289
28.252,2.312
28.191,2.308
28.24,2.298
28.771,2.362
28.982,2.407
29.263,2.428
29.645,2.497
29.979,2.532
30.327,2.597
30.419,2.611
30.58,2.651
30.994,2.753
30.994,2.749
31.073,2.744
31.429,2.822
31.467,2.853
31.491,2.853
31.827,2.9
31.85,2.905
31.878,2.936
31.884,2.935
31.897,2.913
32.122,2.959
32.694,3.085
32.733,3.104
32.812,3.109
32.853,3.1
33.237,3.177
33.505,3.252
33.575,3.247
34.063,3.331
34.135,3.361
34.105,3.365
34.357,3.397
34.468,3.408
34.472,3.421
34.473,3.434
34.86,3.503
35.083,3.525
35.202,3.552
35.67,3.661
35.691,3.662
35.78,3.664
35.964,3.693
36.241,3.752
36.238,3.772
36.242,3.764
36.247,3.749
36.252,3.772
36.251,3.752
36.249,3.749
36.255,3.76
36.26,3.75
36.259,3.759
36.68,3.853
37.103,3.931
37.217,3.934
37.546,3.993
37.555,4.017
37.596,4.022
37.789,4.037
37.798,4.037
37.788,4.047
37.792,4.06
37.886,4.06
38.302,4.119
38.345,4.142
38.533,4.167
38.74,4.177
38.861,4.181
39.483,4.206
39.564,4.208
39.726,4.201
39.968,4.198
40.068,4.198
40.794,4.239
40.945,4.254
41.358,4.311
41.542,4.361
41.655,4.382
42.027,4.424
42.04,4.414
42.04,4.415
42.043,4.429
42.178,4.443
42.221,4.432
42.225,4.432
42.547,4.489
42.952,4.553
43.011,4.543
43.216,4.593
43.409,4.644
43.407,4.627
43.585,4.646
43.929,4.718
43.954,4.729
44.257,4.755
44.39,4.771
44.441,4.796
45.007,4.886
45.091,4.881
45.091,4.876
45.095,4.895
45.083,4.895
45.484,4.939
45.619,4.957
45.633,4.969
45.816,5.011
45.82,5.005
46.249,5.059
46.439,5.096
46.495,5.126
46.553,5.139
46.749,5.159
47.092,5.222
47.142,5.249
47.634,5.375
47.654,5.355
47.98,5.428
48.323,5.545
48.501,5.594
48.653,5.604
48.859,5.66
49.039,5.735
49.336,5.82
49.368,5.796
49.368,5.795
49.584,5.884
49.87,5.971
50.015,5.988
50.321,6.066
50.659,6.184
50.714,6.218
51.115,6.319
51.298,6.352
51.599,6.463
52.101,6.637
52.406,6.719
52.646,6.766
53.04,6.913
53.454,7.068
53.508,7.054
53.643,7.084
53.877,7.188
53.968,7.223
54.388,7.335
54.71,7.424
54.81,7.483
55.027,7.561
55.163,7.57
55.394,7.632
55.427,7.663
55.407,7.667
55.662,7.706
56.017,7.794
56.151,7.842
56.392,7.909
56.512,7.917
56.741,7.95
56.847,7.991
56.992,8.031
57.17,8.059
57.204,8.04
57.501,8.107
57.625,8.161
57.934,8.227
58.098,8.244
58.171,8.273
58.572,8.4
58.818,8.451
58.847,8.431
59.164,8.5
59.343,8.559
59.404,8.566
59.549,8.569
59.601,8.59
59.702,8.632
59.82,8.652
59.961,8.659
60.048,8.683
60.145,8.736
60.271,8.757
60.451,8.776
60.841,8.871
61.086,8.947
61.22,8.974
61.593,9.03
61.805,9.071
61.96,9.124
62.045,9.147
62.101,9.131
62.109,9.125
62.143,9.157
62.606,9.261
62.842,9.288
63.053,9.325
63.344,9.403
63.646,9.485
64.053,9.566
64.287,9.599
64.336,9.611
64.336,9.634
64.375,9.645
64.5,9.65
64.511,9.642
64.76,9.715
65.075,9.814
65.359,9.872
65.552,9.901
65.627,9.927
65.803,9.999
66.203,10.095
66.501,10.15
66.75,10.23
67.026,10.332
67.047,10.327
67.467,10.405
67.766,10.471
67.97,10.5
68.289,10.515
68.748,10.52
68.931,10.52
69.257,10.52
69.807,10.52
69.962,10.52
69.962,10.52
70.202,10.52
70.567,10.52
70.918,10.52
71.317,10.52
71.667,10.52
71.904,10.52
71.917,10.52
72.448,10.52
72.869,10.52
72.974,10.52
72.968,10.52
72.972,10.52
72.973,10.52
72.97,10.52
72.982,10.52
72.979,10.142
72.973,9.818
72.976,10.183
72.969,10.52
72.957,10.52
73.01,10.52
73.012,10.52
73.013,10.52
73.009,10.52
73.006,10.52
73.007,10.52
73.005,10.52
73.003,10.52
73.001,10.52
73,10.52
72.998,10.52
72.996,10.52
72.996,10.52
72.999,10.52
73.002,10.52
73.002,10.52
73.003,10.52
73.008,10.52
73.011,10.52
73.012,10.52
73.011,10.52
73.012,10.52
73.014,10.52
73.013,10.52
73.012,10.52
73.014,10.52
73.009,10.52
73.012,10.52
73.012,10.52
73.012,10.52
73.015,10.52
73.016,10.52
73.018,10.52
73.02,10.52
73.017,10.52
73.018,10.52
73.015,10.52
73.012,10.52
73.008,10.52
73.007,10.52
73.004,10.52
