Voltage (V),Current (a.u.)
2.612,1.51
2.612,1.511
2.613,1.512
2.617,1.513
2.618,1.512
2.624,1.513
2.617,1.513
2.595,1.513
2.629,1.513
2.671,1.514
2.692,1.515
2.722,1.515
2.714,1.515
2.673,1.516
2.671,1.516
2.674,1.517
2.684,1.517
2.729,1.518
2.808,1.519
2.997,1.518
3.119,1.519
3.126,1.52
3.222,1.52
3.348,1.519
3.445,1.52
3.56,1.521
3.658,1.521
3.447,1.522
3.836,1.522
4.601,1.522
4.908,1.522
5.066,1.523
5.322,1.523
5.557,1.524
5.871,1.524
5.976,1.524
6.604,1.525
6.51,1.525
6.612,1.525
6.787,1.525
7.514,1.526
7.555,1.527
7.669,1.526
7.756,1.527
7.786,1.528
8.309,1.528
8.078,1.528
8.125,1.529
8.471,1.528
8.549,1.528
8.64,1.529
8.669,1.529
8.901,1.529
8.857,1.529
8.866,1.53
8.983,1.53
9.022,1.531
9.251,1.53
9.498,1.531
9.689,1.531
10.016,1.532
9.994,1.532
10.273,1.535
10.765,1.542
10.897,1.545
10.996,1.548
11.067,1.551
11.294,1.557
11.59,1.568
11.802,1.574
12.11,1.582
12.396,1.586
12.679,1.591
12.902,1.595
13.24,1.604
13.714,1.611
13.933,1.614
14.355,1.619
14.599,1.625
15.183,1.633
15.401,1.635
15.66,1.64
16.073,1.647
16.477,1.657
16.505,1.659
16.5,1.659
16.647,1.66
17.02,1.671
17.118,1.67
17.611,1.685
17.702,1.69
17.941,1.696
18.073,1.699
18.264,1.705
18.49,1.711
18.559,1.712
18.779,1.714
19,1.718
19.311,1.725
19.635,1.732
19.831,1.738
19.96,1.74
20.101,1.743
20.745,1.753
20.829,1.751
21.249,1.758
21.498,1.762
21.648,1.761
22.122,1.76
22.188,1.761
22.263,1.761
22.663,1.756
22.776,1.757
22.788,1.758
22.872,1.757
23.037,1.753
23.117,1.751
23.191,1.75
23.511,1.738
23.543,1.737
23.885,1.725
23.959,1.722
24.395,1.706
24.758,1.694
25.091,1.684
25.632,1.668
25.724,1.666
26.064,1.659
26.254,1.654
26.517,1.649
26.621,1.647
27.148,1.638
27.548,1.636
27.724,1.641
28.031,1.654
28.177,1.66
28.664,1.678
28.76,1.68
28.912,1.682
29.338,1.694
29.43,1.696
29.674,1.703
29.68,1.706
30.047,1.718
30.218,1.721
30.436,1.731
30.673,1.736
31.068,1.744
31.302,1.752
31.525,1.764
31.554,1.766
31.792,1.77
32.004,1.776
32.355,1.794
32.693,1.806
32.945,1.821
33.138,1.837
33.484,1.858
33.64,1.86
33.897,1.888
34.27,1.923
34.389,1.939
34.687,1.988
34.733,1.994
34.896,2.028
35.063,2.042
35.467,2.155
35.461,2.146
35.643,2.195
35.852,2.238
36.131,2.275
36.556,2.368
37.07,2.479
37.713,2.611
37.772,2.622
38.045,2.675
38.114,2.702
38.147,2.709
38.354,2.728
38.512,2.764
38.71,2.804
38.858,2.823
39.073,2.84
39.095,2.846
39.098,2.841
39.188,2.84
39.319,2.857
39.416,2.871
39.703,2.874
40.322,2.898
40.369,2.893
40.556,2.893
40.583,2.895
40.667,2.889
40.925,2.88
40.992,2.873
41.586,2.824
41.709,2.813
41.761,2.81
41.795,2.808
42.207,2.752
42.324,2.745
42.562,2.71
42.858,2.666
43.145,2.608
43.498,2.541
43.784,2.489
44.102,2.432
44.284,2.408
44.406,2.395
44.786,2.377
45.053,2.375
45.38,2.384
45.585,2.376
45.998,2.364
46.232,2.353
46.761,2.348
46.781,2.358
46.878,2.363
47.226,2.38
47.488,2.386
47.577,2.385
47.87,2.397
48.023,2.405
48.215,2.42
48.254,2.417
48.698,2.456
48.778,2.458
49.407,2.522
49.47,2.537
49.678,2.575
49.706,2.574
49.889,2.587
50.218,2.629
50.335,2.667
50.733,2.718
50.84,2.735
51.146,2.804
51.303,2.853
51.742,2.962
51.975,3.133
52.103,3.184
52.392,3.54
52.462,3.725
52.706,3.169
52.874,3.234
53.383,3.356
53.534,3.421
53.668,3.468
53.869,3.531
54.219,3.635
54.259,3.642
54.683,3.778
54.787,3.804
55.31,3.965
55.725,4.08
56.166,4.199
56.503,4.287
57.264,4.471
57.504,4.522
57.65,4.527
57.833,4.559
58.088,4.609
58.232,4.652
58.364,4.672
58.472,4.694
58.582,4.708
58.588,4.71
58.624,4.713
58.686,4.703
58.749,4.729
59.121,4.77
59.262,4.772
59.414,4.798
59.547,4.802
59.779,4.836
59.983,4.838
59.98,4.834
60.366,4.857
60.682,4.867
60.766,4.875
61.12,4.883
61.21,4.882
61.619,4.887
61.887,4.891
62.086,4.901
62.153,4.906
62.426,4.917
63.004,4.92
63.06,4.919
63.255,4.92
63.351,4.91
63.396,4.914
63.888,4.922
63.949,4.921
64.265,4.921
64.316,4.921
64.51,4.929
64.642,4.921
64.896,4.925
64.991,4.919
65.143,4.916
65.27,4.917
65.428,4.913
65.695,4.921
65.833,4.917
66.266,4.933
66.281,4.933
66.639,4.942
66.711,4.938
66.965,4.937
67.264,4.955
67.832,4.99
68.239,5.018
68.531,5.044
68.874,5.075
69.119,5.102
69.555,5.15
69.852,5.184
70.113,5.225
70.182,5.225
70.603,5.298
70.762,5.312
70.891,5.318
71.257,5.382
71.341,5.416
71.438,5.412
71.795,5.48
71.8,5.481
71.868,5.516
72.216,5.59
72.227,5.583
72.672,5.682
72.69,5.683
72.926,5.74
73.249,5.813
73.256,5.794
73.239,5.783
73.245,5.783
73.267,5.799
73.575,5.897
73.659,5.896
73.694,5.928
74.05,6.012
74.084,6
74.8,6.171
75.07,6.258
75.22,6.316
75.415,6.361
75.39,6.355
75.382,6.355
75.408,6.349
75.39,6.323
75.591,6.38
75.771,6.427
75.808,6.459
75.911,6.456
76.157,6.54
76.632,6.634
77.03,6.755
77.122,6.784
77.248,6.808
77.272,6.793
77.299,6.791
77.573,6.847
77.985,6.962
78.147,7.01
78.276,7.04
78.729,7.14
79.172,7.239
79.302,7.263
79.491,7.295
79.576,7.304
79.715,7.323
79.887,7.356
79.958,7.382
80.287,7.451
80.771,7.552
81.3,7.651
81.79,7.747
81.937,7.767
82.279,7.809
82.364,7.813
82.469,7.826
82.608,7.851
82.857,7.909
82.872,7.915
83.211,7.96
83.419,8.003
83.625,8.024
83.919,8.076
84.162,8.11
84.441,8.145
84.492,8.137
84.473,8.126
84.501,8.123
84.681,8.157
84.738,8.152
85.233,8.234
85.511,8.269
85.633,8.302
85.957,8.327
86.061,8.349
86.129,8.373
86.134,8.357
86.135,8.364
86.132,8.359
86.138,8.355
86.131,8.327
86.142,8.319
86.249,8.337
86.319,8.337
86.608,8.387
86.782,8.406
87.061,8.457
87.222,8.469
87.515,8.515
87.745,8.547
88.145,8.617
88.199,8.621
88.817,8.731
88.983,8.75
88.981,8.748
88.989,8.745
88.987,8.733
88.98,8.727
88.959,8.711
88.948,8.702
88.946,8.699
88.946,8.717
88.959,8.689
88.957,8.701
88.939,8.163
88.963,8.702
88.918,8.667
88.938,8.662
88.936,8.659
88.936,8.656
88.935,8.656
88.939,8.644
88.933,8.635
88.923,8.641
88.985,8.664
88.994,8.658
88.997,8.657
88.993,8.645
88.999,8.62
88.963,8.61
88.985,8.624
89.006,8.631
89.005,8.63
89.021,8.615
89.02,8.62
88.997,8.59
89.025,8.597
89.012,8.606
89.039,8.606
89.03,8.579
89.025,8.563
