Voltage (V),Current (a.u.)
0.286,0.004
0.304,0.004
0.416,0.006
0.508,0.005
0.588,0.004
0.7,0.007
0.807,0.007
0.926,0.003
1.011,0.004
1.141,0.002
1.21,0.004
1.326,0.002
1.428,0.004
1.543,0.003
1.635,0.005
1.765,0.006
1.857,0.005
1.943,0.003
2.058,-0.001
2.151,0.009
2.279,0.007
2.342,0.009
2.456,0.002
2.559,0.005
2.68,0.005
2.761,0.007
2.854,0.003
2.98,0.005
3.072,0.005
3.19,0.001
3.252,0.006
3.409,0.006
3.475,0.006
3.591,0.003
3.701,0.003
3.772,0.008
3.901,0.006
4.01,0
4.097,0.007
4.17,0.001
4.285,0.008
4.379,0.006
4.493,0.007
4.593,0.003
4.674,0.001
4.813,0.004
4.895,0.004
5.003,0.005
5.069,0.008
5.224,0.004
5.286,0.004
5.402,0.005
5.512,0.006
5.58,0.007
5.703,0.008
5.818,0.008
5.913,0.006
5.993,0.008
6.119,0.006
6.192,0.007
6.306,0.005
6.416,0.009
6.504,0.007
6.632,0.006
6.714,0.005
6.816,0.006
6.888,0.011
7.008,0.012
7.098,0.009
7.212,0.008
7.324,-0.002
7.384,-0.004
7.504,-0.033
7.592,0.007
7.72,0.057
7.777,0.043
7.886,0.061
7.969,0.068
8.089,0.057
8.174,0.07
8.285,0.078
8.399,0.096
8.462,0.105
8.579,0.123
8.68,0.141
8.759,0.161
8.874,0.188
8.989,0.216
9.086,0.245
9.16,0.271
9.288,0.308
9.363,0.345
9.478,0.39
9.582,0.432
9.652,0.483
9.759,0.532
9.865,0.587
9.979,0.641
10.06,0.716
10.18,0.773
10.269,0.843
10.382,0.909
10.495,0.981
10.558,1.05
10.674,1.134
10.796,1.204
10.899,1.278
10.988,1.342
11.112,1.416
11.175,1.479
11.311,1.551
11.401,1.61
11.492,1.665
11.583,1.714
11.709,1.764
11.797,1.81
11.91,1.854
12.024,1.892
12.099,1.923
12.224,1.958
12.307,1.987
12.418,2.02
12.53,2.058
12.645,2.092
12.743,2.124
12.817,2.155
12.932,2.182
13.017,2.22
13.139,2.245
13.215,2.285
13.328,2.32
13.435,2.352
13.548,2.381
13.618,2.415
13.721,2.449
13.842,2.484
13.926,2.521
14.053,2.556
14.119,2.589
14.235,2.625
14.337,2.661
14.458,2.694
14.565,2.727
