Voltage (V),Current (a.u.)
0.289,-0.001
0.304,-0.001
0.416,0.001
0.506,0
0.587,-0.001
0.7,0
0.808,0.001
0.926,-0.001
1.013,0
1.142,0.002
1.21,0.001
1.324,-0.001
1.43,-0.001
1.545,0
1.631,-0.001
1.764,0
1.85,-0.001
1.943,0
2.059,0.001
2.147,0.001
2.278,-0.001
2.342,-0.001
2.455,-0.001
2.557,0.002
2.681,-0.001
2.759,-0.001
2.852,-0.002
2.979,-0.001
3.07,0.001
3.19,0.001
3.25,0
3.409,0.001
3.475,0
3.589,0
3.701,0.003
3.769,0.002
3.895,0.003
4.004,0.004
4.097,0.006
4.164,0.009
4.282,0.008
4.38,0.013
4.493,0.019
4.592,0.02
4.671,0.023
4.812,0.03
4.889,0.036
5.003,0.043
5.064,0.051
5.224,0.061
5.286,0.071
5.4,0.083
5.513,0.096
5.577,0.111
5.7,0.126
5.811,0.151
5.912,0.168
5.989,0.191
6.119,0.218
6.192,0.243
6.306,0.271
6.416,0.309
6.5,0.34
6.635,0.374
6.709,0.412
6.816,0.454
6.887,0.496
7,0.541
7.098,0.592
7.211,0.642
7.324,0.694
7.384,0.749
7.501,0.803
7.592,0.864
7.72,0.933
7.777,0.99
7.887,1.054
7.967,1.12
8.094,1.186
8.174,1.254
8.287,1.332
8.399,1.395
8.462,1.468
8.576,1.529
8.682,1.595
8.759,1.653
8.872,1.723
8.985,1.777
9.084,1.829
9.162,1.873
9.292,1.915
9.363,1.95
9.478,1.992
9.586,2.022
9.651,2.053
9.759,2.083
9.866,2.11
9.982,2.138
10.059,2.169
10.181,2.195
10.269,2.223
10.382,2.249
10.495,2.276
10.557,2.301
10.673,2.328
10.788,2.356
10.894,2.382
10.987,2.409
11.114,2.434
11.175,2.46
11.306,2.488
11.401,2.512
11.491,2.542
11.578,2.568
11.703,2.593
11.797,2.62
11.909,2.652
12.024,2.681
12.095,2.714
12.223,2.748
12.307,2.788
12.418,2.832
12.531,2.879
12.646,2.926
12.746,2.975
12.817,3.029
12.931,3.078
13.024,3.13
13.142,3.174
13.214,3.226
13.328,3.27
13.436,3.308
13.549,3.34
13.617,3.362
13.722,3.388
13.842,3.41
13.93,3.428
14.055,3.445
14.119,3.463
14.234,3.482
14.339,3.496
14.458,3.516
14.567,3.529
14.629,3.545
14.742,3.56
14.83,3.573
14.95,3.588
15.025,3.6
15.138,3.61
15.242,3.623
15.359,3.632
15.422,3.644
15.533,3.654
15.654,3.665
15.741,3.673
15.871,3.684
15.931,3.692
16.045,3.701
16.142,3.711
16.27,3.724
16.376,3.735
16.44,3.744
16.554,3.753
16.617,3.764
16.74,3.774
16.836,3.782
16.942,3.789
17.021,3.801
17.144,3.808
17.233,3.819
17.319,3.827
17.459,3.838
17.519,3.843
17.64,3.853
17.742,3.862
17.838,3.869
17.923,3.879
18.073,3.887
18.16,3.893
18.246,3.901
18.364,3.907
18.422,3.915
18.538,3.924
18.647,3.933
18.727,3.94
18.819,3.945
18.932,3.952
19.044,3.96
19.104,3.965
19.222,3.973
19.328,3.977
19.441,3.984
19.528,3.992
19.613,3.997
19.724,4.007
19.826,4.01
19.951,4.016
20.019,4.021
20.154,4.027
20.234,4.033
20.347,4.035
20.46,4.043
20.534,4.048
20.631,4.053
20.75,4.057
20.856,4.062
20.933,4.065
21.059,4.072
21.14,4.077
21.257,4.08
21.366,4.086
21.456,4.086
21.541,4.09
21.664,4.097
21.774,4.101
21.869,4.107
21.986,4.111
22.046,4.115
22.16,4.12
22.272,4.121
22.334,4.127
22.442,4.131
22.554,4.136
22.668,4.14
22.728,4.145
22.85,4.148
22.951,4.153
23.065,4.158
23.165,4.159
23.241,4.162
23.348,4.167
23.46,4.172
23.575,4.176
23.656,4.18
23.776,4.183
23.857,4.188
23.971,4.194
24.081,4.196
24.157,4.202
24.255,4.205
24.369,4.209
24.48,4.215
24.556,4.219
24.693,4.22
24.766,4.223
24.885,4.227
24.99,4.231
25.094,4.235
25.174,4.24
25.292,4.244
25.386,4.248
25.494,4.249
25.611,4.252
25.672,4.257
25.788,4.262
25.896,4.263
25.964,4.269
26.079,4.271
26.195,4.276
26.292,4.279
26.384,4.284
26.507,4.286
26.575,4.29
26.693,4.293
26.801,4.296
26.89,4.297
26.979,4.303
27.098,4.304
27.199,4.309
27.309,4.312
27.424,4.315
27.486,4.316
27.609,4.315
27.707,4.319
27.808,4.321
27.918,4.323
28.04,4.324
28.105,4.324
28.216,4.326
28.33,4.327
28.395,4.33
28.536,4.33
28.613,4.328
28.726,4.33
28.832,4.331
28.939,4.332
29.029,4.331
29.123,4.331
29.237,4.332
29.322,4.333
29.449,4.333
29.519,4.331
29.624,4.333
29.735,4.331
29.856,4.333
29.916,4.333
30.029,4.332
30.142,4.334
30.212,4.334
30.363,4.333
30.426,4.332
30.54,4.331
30.638,4.332
30.762,4.332
30.861,4.333
30.936,4.334
31.051,4.332
31.143,4.332
31.27,4.333
31.331,4.333
31.445,4.332
31.537,4.333
31.67,4.333
31.729,4.333
31.84,4.335
31.955,4.335
32.028,4.336
32.159,4.337
32.237,4.337
32.352,4.338
32.449,4.337
32.571,4.336
32.651,4.337
32.743,4.34
32.861,4.337
32.933,4.337
33.054,4.339
33.143,4.339
33.225,4.337
33.315,4.338
33.454,4.34
33.539,4.341
33.636,4.341
33.761,4.341
33.822,4.342
33.937,4.342
34.045,4.346
34.139,4.344
34.221,4.345
34.339,4.343
34.445,4.345
34.508,4.346
34.651,4.348
34.728,4.348
34.841,4.349
34.954,4.35
35.011,4.351
35.125,4.355
35.223,4.355
35.342,4.356
35.407,4.356
35.519,4.36
35.634,4.358
35.735,4.359
35.844,4.361
35.917,4.361
36.03,4.361
36.1,4.362
36.222,4.367
36.314,4.367
36.427,4.368
36.54,4.368
36.644,4.368
36.714,4.372
36.779,4.373
36.905,4.372
36.993,4.376
37.107,4.375
37.212,4.377
37.286,4.377
37.416,4.377
37.502,4.377
37.615,4.377
37.695,4.38
37.819,4.38
37.899,4.381
38.012,4.38
38.119,4.383
38.183,4.385
38.308,4.382
38.409,4.385
38.521,4.385
38.585,4.385
38.708,4.385
38.805,4.389
38.918,4.39
39.03,4.391
39.103,4.394
39.239,4.397
39.318,4.399
39.429,4.403
39.537,4.404
39.654,4.406
39.714,4.406
39.834,4.409
39.937,4.411
40.045,4.412
40.164,4.413
40.276,4.415
40.38,4.415
40.446,4.413
40.559,4.414
40.626,4.415
40.781,4.416
40.843,4.416
40.961,4.417
41.07,4.418
41.183,4.419
41.281,4.421
41.364,4.423
41.467,4.424
41.577,4.427
41.692,4.428
41.753,4.427
41.872,4.43
41.976,4.433
42.089,4.435
42.202,4.433
42.263,4.437
42.372,4.44
42.469,4.439
42.598,4.44
42.657,4.44
42.774,4.44
42.881,4.441
42.993,4.441
43.084,4.441
43.167,4.44
43.278,4.439
43.376,4.439
43.488,4.439
43.561,4.442
43.673,4.442
43.787,4.443
43.894,4.443
43.984,4.443
44.059,4.442
44.182,4.442
44.24,4.444
44.357,4.442
44.466,4.444
44.567,4.444
44.686,4.446
44.761,4.444
44.863,4.445
44.941,4.447
45.083,4.447
45.146,4.446
45.26,4.446
45.372,4.445
45.431,4.449
45.552,4.448
