Voltage (V),Current (a.u.)
45.277,1.815
45.277,1.815
45.307,1.813
45.501,1.802
45.529,1.804
45.998,1.777
46.093,1.771
46.555,1.751
46.692,1.744
47.109,1.735
47.399,1.732
47.695,1.73
47.807,1.73
48.062,1.728
48.308,1.726
48.638,1.722
48.939,1.72
49.128,1.721
49.294,1.722
49.499,1.725
49.688,1.726
49.919,1.729
50.233,1.733
50.333,1.735
50.661,1.738
50.952,1.741
51.408,1.75
51.426,1.75
51.807,1.761
51.861,1.762
52.124,1.769
52.226,1.774
52.392,1.784
52.703,1.797
52.777,1.796
53.332,1.821
53.517,1.831
53.784,1.849
53.916,1.859
53.974,1.866
54.393,1.903
54.472,1.91
54.793,1.943
55.01,1.975
55.038,1.982
55.334,2.036
55.562,2.08
55.705,2.087
56.037,2.161
56.133,2.199
56.422,2.274
56.506,2.291
56.695,2.327
57.03,2.411
57.118,2.424
57.429,2.473
57.611,2.497
57.685,2.529
57.872,2.562
57.914,2.585
58.172,2.63
58.211,2.637
58.287,2.65
58.58,2.688
58.918,2.749
59.083,2.775
59.348,2.804
59.398,2.798
59.4,2.795
59.408,2.798
59.49,2.826
59.72,2.849
60.515,2.915
60.718,2.919
60.944,2.928
61.245,2.941
61.243,2.946
61.242,2.939
61.25,2.947
61.254,2.946
61.253,2.949
61.327,2.947
61.345,2.94
61.569,2.942
62.24,2.936
62.291,2.931
62.897,2.897
62.981,2.891
63.034,2.887
63.518,2.849
63.757,2.828
64.459,2.789
64.564,2.784
64.621,2.78
64.647,2.778
65.382,2.719
65.553,2.7
65.644,2.693
66.248,2.648
66.337,2.646
66.444,2.637
66.751,2.619
67.331,2.582
67.528,2.567
67.606,2.562
67.645,2.56
67.647,2.559
67.867,2.545
68.084,2.537
68.694,2.516
69.165,2.5
69.473,2.497
69.887,2.495
69.899,2.495
70.553,2.506
70.609,2.51
70.901,2.521
71.012,2.525
71.209,2.537
71.61,2.561
71.766,2.564
72.291,2.599
72.353,2.604
72.824,2.66
73.238,2.694
73.35,2.719
73.595,2.753
73.617,2.742
74.093,2.815
74.347,2.862
74.474,2.879
74.76,2.919
74.826,2.933
75.641,3.056
75.737,3.058
75.716,3.043
75.728,3.05
76.017,3.092
76.584,3.182
76.678,3.219
77.337,3.304
77.535,3.338
78.175,3.437
78.28,3.466
78.343,3.46
78.596,3.497
78.621,3.501
78.804,3.528
78.852,3.549
79.483,3.637
79.604,3.648
79.806,3.656
79.821,3.671
80.169,3.696
80.576,3.737
80.731,3.756
80.923,3.786
80.985,3.795
81.479,3.834
81.558,3.831
82.001,3.872
82.014,3.872
82.162,3.895
82.253,3.904
82.259,3.906
82.559,3.921
82.719,3.921
82.879,3.927
83.241,3.962
83.343,3.957
83.44,3.963
83.535,3.967
83.807,3.996
83.996,4.009
84.231,4.011
84.361,4.022
84.448,4.024
84.585,4.027
84.799,4.037
85.164,4.05
85.512,4.057
85.514,4.054
85.728,4.056
85.788,4.061
85.963,4.061
85.958,4.064
86.2,4.072
86.187,4.075
86.533,4.086
86.622,4.087
86.963,4.1
87.292,4.11
87.978,4.126
88.256,4.131
88.336,4.14
88.571,4.139
89.121,4.167
89.179,4.165
89.57,4.184
89.983,4.212
90.18,4.22
90.317,4.23
90.388,4.226
90.547,4.238
90.548,4.242
90.558,4.238
90.626,4.232
90.694,4.239
90.725,4.241
90.779,4.231
90.817,4.242
91.067,4.255
91.104,4.258
91.142,4.253
91.165,4.252
91.177,4.253
91.192,4.24
91.209,4.231
91.223,4.237
91.239,4.229
91.25,4.229
91.257,4.24
91.267,4.226
91.274,4.234
91.281,4.237
91.287,4.228
91.295,4.218
91.298,4.214
91.305,4.213
91.308,4.213
91.313,4.207
91.32,4.203
91.325,4.213
91.332,4.214
91.337,4.212
91.341,4.21
91.348,4.198
91.35,4.201
91.352,4.193
91.356,4.186
91.355,4.18
91.355,4.181
91.355,4.182
91.356,4.193
91.356,4.186
91.358,4.176
91.361,4.183
91.364,4.179
91.367,4.176
91.369,4.173
91.371,4.167
91.374,4.17
91.374,4.161
91.376,4.165
91.378,4.154
91.377,4.148
