Voltage (V),Current (a.u.)
2.632,1.521
2.633,1.521
2.632,1.521
2.632,1.521
2.631,1.522
2.63,1.523
2.632,1.523
2.635,1.524
2.632,1.524
2.633,1.525
2.633,1.524
2.641,1.524
2.651,1.524
2.663,1.525
2.691,1.526
2.794,1.526
2.81,1.526
2.8,1.527
2.786,1.527
2.715,1.528
2.704,1.528
2.705,1.528
2.707,1.527
2.893,1.528
3.02,1.528
3.148,1.529
3.43,1.529
3.483,1.53
3.579,1.53
3.767,1.53
4.327,1.53
4.89,1.53
5.627,1.53
5.759,1.53
6.604,1.531
6.504,1.531
6.672,1.531
6.855,1.532
7.304,1.532
7.725,1.532
8.323,1.533
8.351,1.533
8.679,1.533
8.78,1.533
8.864,1.534
8.85,1.534
8.835,1.534
8.842,1.534
8.847,1.534
8.853,1.534
8.975,1.535
10.052,1.536
10.192,1.535
10.315,1.535
10.953,1.535
11.46,1.536
11.768,1.537
12.18,1.537
12.615,1.538
12.744,1.538
13.258,1.544
13.488,1.55
13.682,1.557
14.033,1.566
14.137,1.567
14.743,1.577
14.785,1.578
15.259,1.587
15.336,1.589
15.857,1.596
16.268,1.6
16.664,1.606
17.148,1.612
17.377,1.614
17.66,1.617
17.907,1.621
18.198,1.627
18.333,1.629
18.443,1.63
18.77,1.636
18.968,1.639
19.49,1.649
19.66,1.65
19.833,1.652
20.028,1.656
20.478,1.668
20.523,1.666
20.725,1.672
20.871,1.677
21.587,1.687
21.621,1.686
22.204,1.689
22.249,1.691
22.697,1.689
22.743,1.691
23.358,1.683
23.62,1.679
24.038,1.671
24.363,1.664
25.063,1.648
25.252,1.644
25.961,1.629
26.094,1.626
26.469,1.62
26.69,1.617
26.949,1.613
27.351,1.606
27.493,1.603
27.789,1.599
28.039,1.595
28.381,1.59
28.431,1.59
28.967,1.582
28.999,1.583
29.262,1.579
29.577,1.576
29.59,1.577
29.594,1.577
30.044,1.578
30.184,1.58
30.378,1.584
30.667,1.593
30.721,1.593
31.002,1.6
30.984,1.603
31.499,1.614
31.632,1.615
31.637,1.613
31.631,1.614
31.63,1.617
31.632,1.616
31.997,1.624
32.042,1.624
32.534,1.637
32.775,1.641
32.772,1.639
32.774,1.639
33.151,1.648
33.179,1.649
33.175,1.649
33.362,1.654
33.539,1.658
33.585,1.662
33.91,1.669
34.221,1.678
34.593,1.693
34.606,1.69
34.814,1.698
35.436,1.721
35.77,1.737
35.97,1.752
36.382,1.773
36.401,1.775
36.955,1.806
36.961,1.801
36.986,1.808
37.052,1.815
37.533,1.849
37.567,1.85
37.582,1.844
37.585,1.85
37.586,1.843
37.669,1.855
37.812,1.867
38.047,1.882
38.166,1.887
38.626,1.923
38.795,1.927
38.842,1.927
38.835,1.937
39.051,1.959
39.14,1.955
39.639,1.993
39.725,2.007
39.765,2.018
39.871,2.029
40.229,2.045
40.323,2.04
40.509,2.048
40.662,2.053
40.939,2.056
40.976,2.056
41.347,2.052
41.826,2.03
42.97,1.946
42.999,1.945
43.023,1.942
43.152,1.931
43.485,1.906
43.541,1.903
43.856,1.893
43.858,1.893
43.84,1.896
44.289,1.874
44.457,1.865
44.456,1.867
44.458,1.867
44.711,1.852
44.769,1.845
45.175,1.824
