Voltage (V),Current (a.u.)
2.565,1.548
2.564,1.548
2.563,1.548
2.564,1.549
2.564,1.549
2.567,1.549
2.569,1.549
2.561,1.548
2.561,1.549
2.584,1.549
2.585,1.55
2.595,1.55
2.595,1.55
2.597,1.55
2.625,1.55
2.66,1.55
2.673,1.551
2.745,1.55
2.852,1.55
2.969,1.551
2.993,1.55
2.995,1.551
3.088,1.552
4.602,1.551
5.214,1.551
5.76,1.551
6.142,1.552
6.941,1.552
7.021,1.552
7.237,1.552
7.957,1.554
8.118,1.556
8.687,1.573
8.832,1.582
8.895,1.581
9.614,1.611
9.77,1.619
10.123,1.631
10.652,1.643
11.011,1.651
11.322,1.656
11.804,1.662
12.139,1.668
12.503,1.676
12.631,1.678
13.231,1.693
13.238,1.695
13.777,1.708
14.319,1.726
14.325,1.725
14.949,1.749
15.213,1.754
15.396,1.766
16.16,1.796
16.328,1.802
16.847,1.818
16.949,1.817
17.576,1.84
17.724,1.843
17.873,1.847
17.921,1.847
18.093,1.846
18.35,1.853
18.435,1.856
19.096,1.87
19.232,1.873
19.781,1.884
19.85,1.887
20.427,1.895
20.477,1.895
20.816,1.901
20.858,1.901
21.275,1.906
21.406,1.908
21.621,1.906
21.927,1.907
22.162,1.904
22.311,1.904
22.342,1.904
22.701,1.898
23.218,1.876
23.397,1.866
23.576,1.858
23.735,1.848
24.344,1.806
24.375,1.808
24.448,1.805
24.478,1.803
24.71,1.792
24.702,1.793
24.95,1.786
25.071,1.784
25.564,1.801
25.904,1.834
26.012,1.835
26.774,1.892
26.811,1.899
27.27,1.931
27.48,1.959
27.685,2
27.825,2.015
27.89,2.012
27.987,2.022
28.136,2.041
28.562,2.098
28.691,2.118
29.133,2.187
29.435,2.215
30.097,2.318
30.133,2.337
30.178,2.343
30.326,2.368
30.781,2.424
30.952,2.476
31.276,2.544
31.37,2.565
31.402,2.556
31.812,2.668
31.814,2.662
31.821,2.642
32.061,2.728
32.509,2.85
32.593,2.87
32.723,2.904
32.992,2.979
33.159,3.024
33.156,3.015
33.13,2.982
33.415,3.054
33.467,3.072
33.724,3.158
34.056,3.246
34.061,3.219
34.098,3.244
34.637,3.354
34.763,3.388
34.831,3.426
35.12,3.481
35.371,3.538
35.921,3.653
36.108,3.697
36.119,3.7
36.143,3.712
36.149,3.736
36.152,3.736
36.166,3.739
36.264,3.763
36.491,3.813
36.631,3.834
37.015,3.927
37.054,3.927
37.252,3.954
37.295,3.957
37.492,4.002
37.569,4.029
37.83,4.068
38.18,4.135
38.285,4.158
38.28,4.156
38.559,4.205
38.627,4.23
38.635,4.216
39.133,4.274
39.386,4.287
39.762,4.292
39.83,4.29
40.164,4.275
40.605,4.25
40.906,4.215
41.147,4.188
41.433,4.151
41.448,4.152
41.771,4.119
41.821,4.117
42.098,4.112
42.208,4.112
42.762,4.177
42.939,4.205
42.983,4.193
43.406,4.249
43.592,4.249
43.86,4.261
44.079,4.273
44.112,4.277
44.192,4.301
45.004,4.387
45.147,4.404
45.255,4.42
45.412,4.451
45.551,4.451
46.054,4.501
46.178,4.519
46.374,4.554
46.455,4.574
46.925,4.638
47.261,4.692
47.533,4.736
48.081,4.848
48.251,4.884
48.454,4.933
48.556,4.931
48.907,5.045
49.013,5.076
49.182,5.125
49.246,5.143
49.633,5.244
49.818,5.27
50.1,5.357
50.201,5.397
50.394,5.478
50.568,5.534
50.717,5.588
51.299,5.782
51.758,5.91
52.172,6.056
52.666,6.259
52.85,6.318
53.076,6.408
53.323,6.493
53.548,6.586
53.605,6.601
53.89,6.68
53.895,6.713
54.417,6.905
54.561,6.967
54.782,7.051
55.035,7.143
55.111,7.135
55.576,7.298
55.798,7.38
55.944,7.452
56.165,7.52
56.675,7.672
56.772,7.678
57.048,7.765
57.098,7.792
57.369,7.842
57.479,7.852
57.774,7.928
58.019,7.959
58.452,8.044
58.754,8.083
59.032,8.133
59.175,8.16
59.455,8.239
59.642,8.263
59.887,8.335
60.03,8.382
60.056,8.387
60.209,8.403
60.524,8.439
60.982,8.509
61.148,8.555
61.382,8.601
61.806,8.686
62.09,8.733
62.678,8.819
62.783,8.837
62.936,8.854
63.181,8.871
63.327,8.889
63.637,8.946
63.953,9.01
64.116,9.016
64.217,9.046
64.218,9.037
64.475,9.057
64.69,9.095
64.999,9.168
65.125,9.168
65.193,9.169
65.461,9.231
65.455,9.237
65.455,9.22
65.574,9.255
66.077,9.334
66.096,9.356
66.278,9.384
66.404,9.384
66.89,9.494
67.299,9.617
67.729,9.708
68.551,9.944
68.808,10.005
69.696,10.246
70.024,10.332
70.117,10.39
70.424,10.451
70.574,10.479
70.572,10.479
70.875,10.492
71.251,10.514
71.567,10.52
71.855,10.52
72.531,10.52
72.821,10.52
72.827,10.52
72.82,10.52
72.997,10.52
73.479,10.52
73.684,10.52
73.747,10.52
73.96,10.52
74.309,10.52
74.448,10.52
74.669,10.52
75.071,10.52
75.256,10.52
75.545,10.52
75.749,10.52
76.352,10.52
77.022,10.52
77.142,10.52
77.537,10.52
77.88,10.52
77.938,10.52
77.936,10.52
78.192,10.52
78.197,10.52
78.354,10.52
78.405,10.52
78.646,10.52
79.09,10.52
79.334,10.52
79.409,10.52
79.435,10.52
79.439,10.52
79.437,10.52
79.417,10.52
79.389,10.52
79.389,10.52
79.414,10.52
79.416,10.52
79.408,10.52
79.405,10.52
79.403,10.52
79.397,10.52
79.388,10.52
79.37,10.52
79.365,10.52
79.369,10.52
