Voltage (V),Current (a.u.)
0.288,-0.021
0.304,0.021
0.416,0.162
0.507,0.066
0.593,0.002
0.701,0.089
0.811,0.004
0.926,-0.019
1.015,0.036
1.139,0.083
1.21,0.086
1.33,0.09
1.424,0.113
1.541,0.145
1.635,0.142
1.76,0.105
1.858,0.1
1.938,0.069
2.058,0.034
2.147,0.04
2.274,0.046
2.343,0.07
2.458,0.094
2.553,0.114
2.678,0.209
2.761,0.14
2.856,0.127
2.981,0.109
3.063,0.096
3.187,0.1
3.255,0.091
3.399,0.086
3.475,0.085
3.591,0.089
3.7,0.081
3.773,0.092
3.896,0.104
4.005,0.115
4.097,0.115
4.166,0.108
4.285,0.117
4.376,0.13
4.492,0.132
4.583,0.136
4.673,0.148
4.804,0.164
4.886,0.17
5.002,0.178
5.071,0.178
5.213,0.187
5.286,0.203
5.402,0.218
5.511,0.231
5.58,0.243
5.7,0.248
5.809,0.255
5.912,0.261
5.985,0.272
6.106,0.272
6.191,0.258
6.305,0.254
6.402,0.259
6.495,0.256
6.62,0.246
6.707,0.235
6.814,0.234
6.881,0.235
6.997,0.225
7.097,0.217
7.211,0.222
7.316,0.219
7.383,0.218
7.5,0.213
7.574,0.223
7.715,0.229
7.777,0.227
7.869,0.223
7.958,0.222
8.078,0.202
8.173,0.156
8.27,0.269
8.389,0.31
8.459,0.299
8.574,0.296
8.663,0.293
8.749,0.3
8.86,0.314
8.97,0.33
9.079,0.339
9.149,0.345
9.269,0.365
9.363,0.383
9.476,0.391
9.56,0.414
9.647,0.438
9.759,0.524
9.842,0.529
9.961,0.541
10.046,0.524
10.163,0.548
10.269,0.561
10.379,0.527
10.485,0.578
10.553,0.6
10.667,0.581
10.772,0.591
10.89,0.543
10.963,0.507
11.087,0.486
11.175,0.485
11.291,0.473
11.4,0.424
11.468,0.366
11.573,0.323
11.681,0.311
11.794,0.321
11.886,0.332
12.011,0.334
12.082,0.322
12.199,0.308
12.304,0.303
12.389,0.262
12.502,0.278
12.62,0.299
12.714,0.315
12.798,0.292
12.921,0.3
12.991,0.344
13.108,0.375
13.213,0.407
13.305,0.428
13.401,0.444
13.514,0.462
13.61,0.483
13.692,0.504
13.83,0.524
13.898,0.541
14.021,0.569
14.119,0.588
14.209,0.606
14.303,0.633
14.439,0.67
14.529,0.7
14.614,0.73
14.727,0.756
14.803,0.789
14.916,0.824
15.019,0.865
15.104,0.894
15.202,0.913
15.319,0.927
15.421,0.93
15.498,0.916
15.64,0.887
15.708,0.843
15.828,0.797
15.914,0.759
16.011,0.704
16.104,0.664
16.237,0.632
16.334,0.596
16.412,0.55
16.53,0.519
16.61,0.496
16.723,0.48
16.814,0.462
16.9,0.447
17.007,0.445
17.097,0.446
17.22,0.45
17.29,0.448
17.417,0.459
17.516,0.471
17.628,0.484
17.734,0.497
17.8,0.508
17.912,0.525
18.019,0.546
18.137,0.563
18.2,0.583
18.321,0.605
18.422,0.626
18.529,0.648
18.603,0.677
18.703,0.704
18.817,0.725
18.886,0.755
19.003,0.792
19.096,0.824
19.188,0.856
19.327,0.898
19.423,0.939
19.498,0.979
19.596,1.026
19.719,1.072
19.783,1.115
19.923,1.165
20.007,1.201
20.11,1.231
20.229,1.243
20.328,1.24
20.425,1.217
20.514,1.186
20.629,1.131
20.702,1.083
20.828,1.035
20.913,0.986
21.014,0.935
21.139,0.873
21.246,0.82
21.347,0.772
21.421,0.731
21.535,0.687
21.613,0.655
21.752,0.64
21.821,0.626
21.934,0.612
22.044,0.595
22.143,0.596
22.241,0.6
22.314,0.607
22.435,0.608
22.502,0.624
22.622,0.641
22.715,0.629
22.808,0.652
22.945,0.691
23.04,0.716
23.122,0.744
23.217,0.777
23.338,0.81
23.408,0.842
23.542,0.878
23.631,0.911
23.726,0.938
23.85,0.976
23.937,1.014
24.031,1.06
24.13,1.117
24.25,1.166
24.318,1.221
24.445,1.278
24.535,1.334
24.639,1.39
24.763,1.453
24.868,1.498
24.965,1.536
25.046,1.564
25.159,1.573
25.236,1.562
25.35,1.539
25.444,1.511
25.556,1.468
25.669,1.425
25.772,1.377
25.87,1.322
25.938,1.26
26.064,1.194
26.138,1.126
26.262,1.066
26.349,1.019
26.447,0.977
26.566,0.939
26.674,0.904
26.755,0.865
26.849,0.828
26.966,0.8
27.041,0.79
27.163,0.797
27.256,0.812
27.37,0.813
27.48,0.818
27.584,0.829
27.681,0.84
27.758,0.849
27.877,0.867
27.969,0.895
28.083,0.928
28.163,0.951
28.274,0.983
28.386,1.025
28.498,1.056
28.602,1.1
28.671,1.149
28.783,1.201
28.866,1.248
28.991,1.335
29.075,1.392
29.201,1.438
29.293,1.516
29.404,1.622
29.468,1.681
29.574,1.771
29.689,1.921
29.785,1.974
29.905,2.004
29.974,1.99
30.089,1.893
30.198,1.848
30.311,1.887
30.385,1.874
30.484,1.826
30.595,1.755
30.685,1.649
30.811,1.561
30.89,1.525
31.013,1.451
31.105,1.392
31.217,1.314
31.287,1.232
31.389,1.185
31.501,1.15
31.598,1.165
31.718,1.146
31.786,1.083
31.903,1.04
32.01,1.011
32.114,0.979
32.227,0.956
32.295,0.977
32.407,1.015
32.489,1.069
32.608,1.116
32.69,1.072
32.804,1.085
32.916,1.044
33.015,1.059
33.088,1.085
33.179,1.128
33.301,1.153
33.376,1.201
33.5,1.265
33.587,1.279
33.684,1.365
33.807,1.584
33.897,1.618
33.992,1.605
34.088,1.672
34.207,1.747
34.277,1.814
34.389,1.84
34.499,1.872
34.577,1.944
34.701,2.059
34.78,2.126
34.897,2.185
34.957,2.227
35.071,2.246
35.176,2.269
35.289,2.271
35.355,2.261
35.462,2.258
35.577,2.232
35.65,2.163
35.787,2.109
35.861,2.032
35.97,1.988
36.066,1.954
36.183,1.904
36.277,1.85
36.369,1.781
36.484,1.668
36.554,1.582
36.676,1.538
36.766,1.535
36.831,1.534
36.945,1.497
37.055,1.455
37.162,1.426
37.235,1.337
37.357,1.286
37.446,1.28
37.558,1.274
37.657,1.286
37.74,1.295
37.843,1.31
37.941,1.473
38.051,1.388
38.128,1.389
38.257,1.354
38.352,1.358
38.465,1.497
38.569,1.501
38.64,1.556
38.748,1.547
38.863,1.581
38.974,1.65
39.048,1.78
39.173,1.876
39.258,1.953
39.373,2.027
39.484,2.153
39.58,2.22
39.673,2.299
39.794,2.397
39.888,2.445
39.979,2.483
40.106,2.506
40.187,2.518
40.307,2.544
40.39,2.562
40.49,2.56
40.59,2.55
40.724,2.525
40.807,2.492
40.901,2.459
41.017,2.425
41.104,2.359
41.225,2.286
41.307,2.243
41.427,2.178
41.521,2.123
41.634,2.073
41.736,1.992
41.806,1.928
41.937,1.921
42.024,1.902
42.14,1.871
42.204,1.844
42.316,1.801
42.418,1.761
42.538,1.732
42.617,1.697
42.71,1.686
42.824,1.689
42.899,1.7
43.013,1.708
43.109,1.729
43.217,1.749
43.32,1.781
43.425,1.801
43.517,1.848
43.597,1.887
43.716,1.92
43.794,1.97
43.912,2.047
44.014,2.103
44.089,2.158
44.186,2.216
44.296,2.294
44.41,2.371
44.491,2.434
44.609,2.486
44.693,2.554
44.806,2.622
44.881,2.675
44.988,2.727
45.09,2.763
45.188,2.789
45.307,2.819
45.374,2.848
45.487,2.867
