Voltage (V),Current (a.u.)
0.289,-0.007
0.304,-0.005
0.416,-0.006
0.506,-0.004
0.588,-0.006
0.7,-0.007
0.807,-0.007
0.926,-0.006
1.011,-0.005
1.141,-0.005
1.21,-0.006
1.324,-0.004
1.43,-0.006
1.545,-0.007
1.631,-0.007
1.763,-0.005
1.853,-0.007
1.943,-0.006
2.059,-0.006
2.151,-0.004
2.279,-0.007
2.342,-0.009
2.455,-0.005
2.562,-0.007
2.681,-0.007
2.756,-0.006
2.852,-0.006
2.975,-0.005
3.069,-0.005
3.191,-0.004
3.25,-0.006
3.407,-0.007
3.474,-0.004
3.589,-0.004
3.701,-0.007
3.77,-0.006
3.898,-0.008
4.006,-0.003
4.097,-0.005
4.162,-0.006
4.28,-0.008
4.38,-0.003
4.493,-0.003
4.591,-0.007
4.669,-0.008
4.81,-0.009
4.89,-0.006
5.003,-0.005
5.068,-0.006
5.224,-0.006
5.286,-0.009
5.4,-0.008
5.513,-0.005
5.575,-0.005
5.699,-0.004
5.813,-0.005
5.91,-0.005
5.987,-0.001
6.118,0
6.192,-0.002
6.305,-0.003
6.415,0.003
6.503,0
6.635,0.003
6.707,0.003
6.815,0.005
6.883,0.009
7,0.01
7.098,0.014
7.211,0.019
7.324,0.022
7.384,0.029
7.5,0.029
7.589,0.032
7.721,0.04
7.777,0.047
7.886,0.055
7.964,0.059
8.087,0.07
8.174,0.076
8.286,0.089
8.399,0.097
8.46,0.109
8.574,0.119
8.681,0.134
8.755,0.142
8.869,0.157
8.983,0.17
9.082,0.186
9.155,0.201
9.286,0.221
9.363,0.235
9.477,0.257
9.584,0.277
9.649,0.294
9.759,0.316
9.865,0.341
9.98,0.363
10.052,0.391
10.181,0.417
10.269,0.444
10.382,0.474
10.495,0.506
10.555,0.532
10.669,0.568
10.784,0.603
10.894,0.64
10.982,0.677
11.109,0.718
11.175,0.759
11.301,0.808
11.401,0.85
11.487,0.904
11.575,0.955
11.696,1.01
11.797,1.069
11.909,1.152
12.023,1.238
12.091,1.336
12.214,1.454
12.307,1.593
12.416,1.726
12.529,1.863
12.646,1.97
12.74,2.071
12.816,2.165
12.93,2.262
13.012,2.356
13.133,2.439
13.213,2.501
13.327,2.553
13.434,2.587
13.548,2.626
13.614,2.656
13.722,2.684
13.84,2.713
