Voltage (V),Current (a.u.)
0.288,0.018
0.304,0.021
0.414,0.046
0.503,0.067
0.591,0.074
0.701,0.072
0.807,0.087
0.926,0.1
1.015,0.102
1.141,0.089
1.21,0.083
1.33,0.09
1.427,0.117
1.544,0.134
1.638,0.124
1.763,0.106
1.857,0.08
1.94,0.064
2.06,0.084
2.15,0.119
2.276,0.135
2.343,0.137
2.459,0.131
2.556,0.12
2.679,0.117
2.765,0.137
2.858,0.138
2.987,0.134
3.071,0.127
3.19,0.113
3.26,0.105
3.407,0.106
3.475,0.103
3.594,0.099
3.701,0.091
3.782,0.093
3.901,0.089
4.014,0.093
4.097,0.094
4.175,0.094
4.294,0.096
4.379,0.103
4.493,0.106
4.591,0.111
4.681,0.109
4.813,0.111
4.899,0.109
5.003,0.109
5.079,0.107
5.222,0.114
5.288,0.108
5.407,0.099
5.512,0.076
5.586,0.087
5.708,0.112
5.821,0.136
5.918,0.14
5.997,0.137
6.118,0.123
6.193,0.115
6.308,0.106
6.415,0.101
6.507,0.107
6.635,0.117
6.72,0.134
6.82,0.148
6.894,0.143
7.013,0.132
7.1,0.125
7.213,0.123
7.324,0.121
7.392,0.118
7.514,0.115
7.595,0.1
7.721,0.103
7.777,0.114
7.885,0.119
7.975,0.123
8.094,0.14
8.174,0.151
8.286,0.162
8.399,0.169
8.471,0.173
8.589,0.199
8.68,0.249
8.765,0.243
8.881,0.198
8.996,0.175
9.092,0.197
9.164,0.215
9.287,0.263
9.363,0.328
9.487,0.389
9.583,0.451
9.66,0.508
9.76,0.551
9.867,0.593
9.98,0.638
10.068,0.69
10.189,0.734
10.269,0.773
10.385,0.789
10.495,0.81
10.568,0.854
10.685,0.902
10.804,0.935
10.902,0.953
10.989,0.979
11.109,1.016
11.177,1.054
11.314,1.094
11.401,1.125
11.495,1.158
11.59,1.189
11.714,1.216
11.798,1.229
11.909,1.255
12.026,1.27
12.105,1.292
12.229,1.314
12.308,1.345
12.416,1.357
12.531,1.367
12.645,1.38
12.745,1.411
12.819,1.427
12.937,1.443
13.023,1.465
13.142,1.499
13.218,1.533
13.332,1.538
13.434,1.539
13.545,1.545
13.623,1.531
13.72,1.534
13.85,1.554
13.932,1.585
14.052,1.633
14.122,1.659
14.239,1.653
14.336,1.65
14.458,1.677
14.563,1.707
14.633,1.72
14.747,1.739
14.836,1.765
14.949,1.78
15.028,1.797
15.144,1.799
15.24,1.811
15.357,1.826
15.426,1.839
15.532,1.854
15.663,1.885
15.745,1.906
15.867,1.919
15.933,1.94
16.051,1.959
16.144,1.975
16.269,1.994
16.373,2.011
16.441,2.028
16.558,2.047
16.632,2.042
16.749,2.064
16.837,2.064
16.941,2.086
17.032,2.096
17.154,2.118
17.233,2.132
17.326,2.142
17.457,2.159
17.53,2.162
17.655,2.164
17.742,2.179
17.84,2.203
17.935,2.208
18.073,2.229
18.17,2.248
18.245,2.259
18.363,2.277
18.424,2.29
18.546,2.303
18.645,2.322
18.74,2.328
18.823,2.332
18.94,2.344
19.044,2.35
19.119,2.359
19.236,2.369
19.329,2.387
19.446,2.397
19.539,2.409
19.626,2.419
19.726,2.428
19.832,2.435
19.957,2.448
20.033,2.455
20.16,2.468
20.234,2.474
20.351,2.481
20.46,2.487
20.551,2.499
20.641,2.502
20.766,2.514
20.856,2.523
20.948,2.53
21.069,2.536
21.152,2.547
21.273,2.555
21.366,2.564
21.464,2.568
21.56,2.577
21.681,2.585
21.793,2.594
21.87,2.601
21.986,2.597
22.052,2.615
22.172,2.624
22.272,2.629
22.353,2.64
22.448,2.644
22.564,2.649
22.667,2.654
22.746,2.661
22.869,2.669
22.954,2.676
23.069,2.684
23.168,2.69
23.262,2.696
23.353,2.7
23.473,2.708
23.584,2.717
23.673,2.73
23.788,2.728
23.859,2.729
23.972,2.736
24.081,2.743
24.175,2.75
24.271,2.751
24.388,2.751
24.48,2.76
