Voltage (V),Current (a.u.)
24.579,2.767
24.7,2.771
24.78,2.778
24.909,2.779
24.99,2.786
25.099,2.79
25.195,2.794
25.309,2.8
25.398,2.805
25.497,2.817
25.611,2.819
25.686,2.822
25.813,2.826
25.896,2.83
25.984,2.835
26.099,2.839
26.215,2.841
26.294,2.847
26.397,2.85
26.515,2.853
26.578,2.858
26.716,2.863
26.801,2.867
26.903,2.869
27,2.872
27.118,2.877
27.216,2.882
27.311,2.886
27.427,2.889
27.506,2.891
27.63,2.894
27.708,2.896
27.813,2.896
27.927,2.904
28.044,2.908
28.122,2.907
28.217,2.909
28.332,2.911
28.415,2.917
28.55,2.923
28.618,2.92
28.734,2.921
28.837,2.923
28.947,2.929
29.052,2.929
29.132,2.934
29.256,2.937
29.34,2.938
29.458,2.94
29.519,2.939
29.632,2.938
29.743,2.947
29.859,2.949
29.927,2.95
30.032,2.954
30.149,2.955
30.236,2.96
30.367,2.964
30.437,2.967
30.561,2.97
30.649,2.97
30.764,2.97
30.873,2.97
30.949,2.973
31.08,2.975
31.16,2.975
31.274,2.972
31.339,2.976
31.461,2.975
31.555,2.977
31.672,2.982
31.752,2.985
31.844,2.988
31.972,2.982
32.054,2.983
32.174,2.984
32.247,2.991
32.375,2.992
32.458,2.995
32.575,2.994
32.676,2.995
32.747,2.997
32.871,2.997
32.956,3
33.075,3
33.143,3.006
33.246,3.01
33.342,3.005
33.476,3.011
33.542,3.012
33.649,3.011
33.765,3.014
33.831,3.015
33.96,3.024
34.049,3.022
34.157,3.022
34.248,3.023
34.37,3.031
34.454,3.028
34.538,3.026
34.667,3.033
34.736,3.036
34.85,3.032
34.954,3.035
35.023,3.035
35.125,3.036
35.249,3.039
35.35,3.04
35.417,3.04
35.541,3.045
35.634,3.044
35.746,3.046
35.858,3.052
35.921,3.053
36.03,3.054
36.13,3.056
36.248,3.057
36.318,3.066
36.451,3.064
36.54,3.059
36.652,3.058
36.744,3.059
36.811,3.063
36.928,3.066
37.011,3.058
37.129,3.064
37.219,3.066
37.318,3.067
37.439,3.069
37.528,3.069
37.616,3.072
37.721,3.069
37.841,3.073
37.902,3.061
38.019,3.041
38.124,3.019
38.204,3.056
38.341,3.088
38.438,3.1
38.525,3.101
38.617,3.102
38.74,3.099
38.809,3.11
38.94,3.129
39.031,3.105
39.134,3.091
39.257,3.077
39.35,3.06
39.455,3.085
39.543,3.113
39.654,3.118
39.747,3.126
39.871,3.149
39.939,3.156
40.058,3.124
40.164,3.022
40.278,2.972
40.388,3.145
40.451,3.167
40.561,3.121
40.663,3.129
40.786,3.186
40.873,3.203
40.999,3.196
41.071,3.177
41.188,3.179
41.295,3.183
41.4,3.169
41.501,3.162
41.61,3.164
41.702,3.16
41.788,3.178
41.906,3.174
41.991,3.176
42.113,3.175
42.202,3.172
42.295,3.161
42.391,3.155
42.497,3.157
42.601,3.154
42.69,3.164
42.808,3.191
42.881,3.193
42.995,3.193
43.106,3.191
43.201,3.185
43.292,3.184
43.402,3.186
43.502,3.159
43.576,3.163
43.687,3.184
43.787,3.211
43.901,3.215
44.01,3.215
44.07,3.195
44.183,3.194
44.272,3.189
44.396,3.156
44.468,3.192
44.59,3.202
44.693,3.232
44.8,3.248
44.864,3.249
44.973,3.237
45.09,3.224
45.163,3.208
45.286,3.175
45.373,3.168
45.467,3.172
45.59,3.184
