Voltage (V),Current (a.u.)
0.289,0.004
0.304,0.002
0.416,-0.01
0.512,-0.005
0.591,0.012
0.7,0.005
0.809,0.011
0.926,0.012
1.016,0.013
1.141,0.011
1.212,0.012
1.327,0.021
1.428,0.029
1.54,0.031
1.63,0.026
1.758,0.022
1.856,0.034
1.94,0.018
2.059,0.026
2.147,-0.023
2.272,0.045
2.343,0.04
2.456,0.003
2.555,0.002
2.678,-0.006
2.761,0.002
2.855,-0.006
2.979,0.019
3.065,-0.01
3.187,0.021
3.254,-0.005
3.403,0.005
3.474,0.005
3.59,0.019
3.7,0.008
3.772,0.01
3.895,0.01
4.003,0.02
4.097,0.019
4.162,0.019
4.28,0.014
4.378,0.018
4.492,0.026
4.582,0.028
4.672,0.029
4.805,0.03
4.884,0.032
5.001,0.041
5.067,0.04
5.213,0.05
5.286,0.054
5.401,0.061
5.511,0.065
5.576,0.07
5.696,0.079
5.808,0.079
5.912,0.08
5.985,0.073
6.105,0.062
6.192,0.059
6.305,0.059
6.403,0.047
6.494,0.043
6.62,0.038
6.703,0.037
6.814,0.035
6.879,0.034
6.997,0.029
7.097,0.033
7.211,0.039
7.319,0.036
7.383,0.035
7.499,0.04
7.574,0.044
7.716,0.047
7.777,0.044
7.87,0.054
7.957,0.056
8.076,0.054
8.173,0.052
8.273,0.068
8.39,0.071
8.458,0.078
8.573,0.081
8.667,0.091
8.746,0.088
8.86,0.1
8.973,0.108
9.08,0.117
9.147,0.125
9.268,0.135
9.363,0.142
9.477,0.153
9.564,0.168
9.647,0.178
9.759,0.193
9.84,0.208
9.963,0.22
10.046,0.239
10.166,0.26
10.269,0.285
10.38,0.313
10.486,0.338
10.553,0.36
10.666,0.361
10.776,0.351
10.891,0.333
10.958,0.302
11.085,0.282
11.175,0.257
11.289,0.225
11.401,0.202
11.465,0.182
11.572,0.162
11.684,0.143
11.796,0.137
11.886,0.127
12.013,0.115
12.082,0.113
12.199,0.108
12.305,0.109
12.389,0.11
12.501,0.114
12.622,0.115
12.713,0.122
12.804,0.128
12.923,0.133
12.991,0.138
13.108,0.148
13.213,0.159
13.302,0.166
13.399,0.178
13.513,0.182
13.609,0.195
13.691,0.209
13.834,0.216
13.895,0.231
14.018,0.252
14.119,0.271
14.211,0.283
14.3,0.301
14.44,0.322
14.53,0.337
14.618,0.357
14.73,0.381
14.8,0.413
14.915,0.435
15.022,0.47
15.107,0.498
15.201,0.534
15.319,0.572
15.421,0.601
15.498,0.626
15.644,0.621
15.707,0.603
15.829,0.58
15.92,0.546
16.013,0.526
16.105,0.502
16.242,0.462
16.334,0.422
16.412,0.379
16.534,0.343
16.61,0.322
16.724,0.296
16.814,0.272
16.902,0.252
17.007,0.24
17.1,0.233
17.22,0.224
17.291,0.217
17.42,0.214
17.516,0.213
17.628,0.217
17.738,0.222
17.801,0.23
17.912,0.233
18.026,0.241
18.138,0.252
18.199,0.26
18.318,0.27
18.422,0.28
18.532,0.298
18.606,0.314
18.705,0.322
18.817,0.342
18.889,0.357
19.005,0.378
19.098,0.399
19.185,0.417
19.327,0.443
19.426,0.463
19.498,0.495
19.603,0.52
19.721,0.55
19.784,0.576
19.925,0.626
20.007,0.664
20.114,0.714
20.232,0.754
20.334,0.789
20.423,0.808
20.516,0.813
20.63,0.808
20.707,0.803
20.83,0.789
20.913,0.779
21.02,0.767
21.14,0.724
21.25,0.676
21.352,0.634
21.423,0.586
21.536,0.555
21.619,0.527
21.757,0.498
21.821,0.462
21.935,0.439
22.045,0.413
22.149,0.394
22.245,0.388
22.321,0.375
22.44,0.366
22.503,0.363
22.624,0.359
22.719,0.356
22.811,0.362
22.948,0.368
23.043,0.375
23.121,0.378
23.224,0.383
23.341,0.393
23.409,0.407
23.544,0.425
23.631,0.438
23.732,0.45
23.854,0.473
23.942,0.485
24.032,0.506
24.135,0.532
24.252,0.555
24.318,0.578
24.446,0.608
24.536,0.633
24.645,0.67
24.763,0.709
24.873,0.751
24.973,0.795
25.046,0.837
25.159,0.871
25.241,0.897
25.354,0.922
25.445,0.936
25.557,0.946
25.669,0.961
25.777,0.967
25.873,0.963
25.943,0.956
26.065,0.92
26.139,0.886
26.268,0.856
26.349,0.825
26.454,0.803
26.571,0.774
26.68,0.732
26.756,0.698
26.856,0.666
26.971,0.637
27.044,0.62
27.164,0.604
27.257,0.581
27.375,0.568
27.481,0.552
27.59,0.541
27.689,0.534
27.762,0.536
27.877,0.533
27.976,0.533
28.092,0.525
28.163,0.531
28.277,0.541
28.387,0.546
28.5,0.557
28.606,0.568
28.672,0.577
28.783,0.594
28.871,0.604
28.998,0.626
29.075,0.649
29.2,0.667
29.293,0.69
29.406,0.717
29.47,0.748
29.575,0.777
29.689,0.82
29.79,0.855
29.91,0.893
29.977,0.928
30.094,0.958
30.199,0.989
30.312,1.025
30.39,1.045
30.485,1.074
30.595,1.091
30.69,1.105
30.817,1.109
30.896,1.101
31.021,1.086
31.105,1.076
31.218,1.067
31.295,1.047
31.389,1.034
31.501,1.004
31.609,0.967
31.725,0.94
31.789,0.915
31.907,0.891
32.01,0.871
32.121,0.853
32.234,0.832
32.296,0.808
32.407,0.791
32.495,0.778
32.613,0.776
32.69,0.764
32.808,0.749
32.916,0.755
33.023,0.757
33.088,0.756
33.189,0.764
33.309,0.765
33.379,0.767
33.509,0.768
33.595,0.772
33.697,0.781
33.816,0.794
33.902,0.804
33.992,0.827
34.097,0.844
34.214,0.864
34.277,0.88
34.391,0.901
34.502,0.932
34.582,0.967
34.712,0.995
34.789,1.033
34.899,1.061
34.961,1.094
35.076,1.124
35.18,1.158
35.294,1.193
35.358,1.22
35.464,1.248
35.579,1.272
35.654,1.287
35.797,1.302
35.863,1.312
35.978,1.31
36.073,1.314
36.193,1.313
36.284,1.307
36.37,1.294
36.487,1.267
36.561,1.243
36.681,1.233
36.766,1.215
36.837,1.197
36.948,1.177
37.066,1.157
37.163,1.131
37.243,1.11
37.368,1.097
37.446,1.085
37.56,1.074
37.669,1.056
37.747,1.042
37.844,1.032
37.951,1.019
38.062,1.01
38.128,1.014
38.263,1.006
38.352,1.001
38.466,0.996
38.576,0.991
38.642,0.999
38.749,1.008
38.869,1.017
38.975,1.021
39.054,1.031
39.183,1.044
39.258,1.063
39.374,1.085
39.484,1.111
39.587,1.139
39.678,1.16
39.798,1.187
39.892,1.212
39.985,1.243
40.11,1.279
40.197,1.311
40.316,1.339
40.39,1.359
40.496,1.389
40.597,1.411
40.728,1.432
40.815,1.449
40.901,1.464
41.02,1.483
41.111,1.492
41.235,1.494
41.313,1.493
41.436,1.487
41.522,1.482
41.636,1.478
41.745,1.475
41.809,1.471
41.946,1.459
42.032,1.437
42.144,1.426
42.207,1.425
42.324,1.418
42.426,1.407
42.542,1.389
42.627,1.378
42.713,1.367
42.826,1.363
42.908,1.353
43.019,1.349
43.111,1.341
43.225,1.327
43.331,1.321
43.437,1.315
43.526,1.324
43.61,1.325
43.727,1.331
43.805,1.329
43.924,1.328
44.014,1.328
44.095,1.339
44.188,1.355
44.309,1.371
44.41,1.38
44.503,1.396
44.622,1.408
44.694,1.435
44.807,1.453
44.886,1.477
44.994,1.504
45.091,1.524
45.198,1.554
45.313,1.579
45.375,1.593
45.492,1.621
